slo_ms,runtime,argmax_lambda,peak_goodput_sps,capacity_lambda,diverged_at_argmax
40,plain,1545.0,1538.3,1603.6,False
40,naive,1600.0,1599.2,1654.7,False
40,proposed(bs2=4),1570.0,1567.0,1626.0,False
40,proposed(bs2=8),1620.0,1610.8,1682.6,False
40,proposed(bs2=16),1630.0,1539.1,1712.5,False
40,proposed(bs2=32),1575.0,1083.1,1648.3,False
50,plain,1560.0,1558.8,1603.6,False
50,naive,1615.0,1614.3,1654.7,False
50,proposed(bs2=4),1580.0,1580.5,1626.0,False
50,proposed(bs2=8),1630.0,1630.8,1682.6,False
50,proposed(bs2=16),1650.0,1638.4,1712.5,False
50,proposed(bs2=32),1575.0,1240.7,1648.3,False
60,plain,1575.0,1573.0,1603.6,False
60,naive,1630.0,1626.7,1654.7,False
60,proposed(bs2=4),1595.0,1593.1,1626.0,False
60,proposed(bs2=8),1645.0,1643.2,1682.6,False
60,proposed(bs2=16),1665.0,1661.9,1712.5,False
60,proposed(bs2=32),1580.0,1397.0,1648.3,False
70,plain,1585.0,1579.4,1603.6,False
70,naive,1640.0,1638.2,1654.7,False
70,proposed(bs2=4),1605.0,1602.8,1626.0,False
70,proposed(bs2=8),1660.0,1655.8,1682.6,False
70,proposed(bs2=16),1685.0,1676.3,1712.5,False
70,proposed(bs2=32),1590.0,1525.8,1648.3,False
80,plain,1590.0,1583.9,1603.6,False
80,naive,1655.0,1647.6,1654.7,True
80,proposed(bs2=4),1615.0,1611.0,1626.0,False
80,proposed(bs2=8),1670.0,1665.5,1682.6,False
80,proposed(bs2=16),1695.0,1686.9,1712.5,False
80,proposed(bs2=32),1595.0,1586.2,1648.3,False
90,plain,1595.0,1587.7,1603.6,False
90,naive,1655.0,1649.4,1654.7,True
90,proposed(bs2=4),1625.0,1615.6,1626.0,False
90,proposed(bs2=8),1680.0,1672.4,1682.6,False
90,proposed(bs2=16),1705.0,1695.3,1712.5,False
90,proposed(bs2=32),1610.0,1605.5,1648.3,False
100,plain,1600.0,1590.5,1603.6,False
100,naive,1660.0,1650.6,1654.7,True
100,proposed(bs2=4),1625.0,1618.1,1626.0,False
100,proposed(bs2=8),1680.0,1673.9,1682.6,False
100,proposed(bs2=16),1710.0,1701.9,1712.5,False
100,proposed(bs2=32),1620.0,1617.4,1648.3,False
